id,name,popularity,duration_ms,explicit,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist
1FiHwQuheDkhq9nNdNxOH9,Wonderwall,45,258613,false,2006-01-01,0.406,0.889,6,-4,0,0.0325,6.82E-4,0.0,0.205,0.706,174.593,4,Oasis
1JHCEDui9bf3hDxJcCwemy,Digsy's Dinner - Remastered,42,152267,false,1994-08-29,0.303,0.987,2,-2,1,0.111,8.95E-4,0.537,0.0659,0.057,139.499,4,Oasis
1K9ktcUxlgCM5DyziEGtDx,Moonage Daydream - 2002 Remaster,41,280773,false,1989-09-19,0.528,0.577,11,-11,0,0.0322,0.0199,7.03E-4,0.0535,0.691,144.444,4,David Bowie
1LB7e06ntvgHnbo558poL8,An Occasional Dream - 2019 Mix,24,177380,false,1969-11-14,0.422,0.636,0,-8,1,0.0285,0.608,4.6E-5,0.183,0.396,141.058,4,David Bowie
1PymIRGvpz7A33GKUAoTg1,Hymn for the Weekend,31,258267,false,2021-04-02,0.491,0.693,0,-6,0,0.0377,0.211,6.92E-6,0.325,0.412,90.027,4,Coldplay
1SJyT00XqCV0qdEg6XX6PL,Black Country Rock - 2015 Remaster,39,216667,false,1970-11-04,0.429,0.588,2,-11,1,0.0338,0.0456,1.48E-5,0.207,0.788,79.007,4,David Bowie
1STAWoWHYJh2UVUx41pYMD,Lost!,53,236213,false,2008-05-26,0.359,0.779,7,-7,1,0.0412,0.0057,0.837,0.379,0.582,86.951,4,Coldplay
1SWWn0eLHHRoZbx0aBDdVg,Fantastic Voyage - 2017 Remaster,45,175093,false,1979-01-01,0.382,0.494,9,-9,1,0.051,0.768,0.0,0.135,0.724,206.357,4,David Bowie
1SfxrlKPpI3sg58TclvbNY,Hey Now - Demo,32,187920,false,1995-01-01,0.556,0.605,7,-6,1,0.0287,0.874,1.28E-4,0.146,0.375,98.945,4,Oasis
1VsoNmgANye8Z4qf3XhT3k,1984 - 2016 Remaster,41,207400,false,1974-05-24,0.468,0.637,2,-13,0,0.112,0.624,0.0,0.148,0.554,117.203,4,David Bowie
1XKaGYpLGL3UFNBmNAgHcv,Moonage Daydream - Live; 2005 Mix; 2016 Remaster,25,307400,false,1974-10-29,0.422,0.688,11,-15,0,0.0906,0.0362,1.71E-5,0.867,0.664,129.438,4,David Bowie
1XiAWoiBiI6oHvLh8BHzT6,Drive-In Saturday - 2013 Remaster,11,272600,false,2015-09-25,0.302,0.562,7,-9,1,0.0368,0.344,0.0,0.0674,0.448,201.007,3,David Bowie
1cBhWPWbCp4dUyCCulY8CM,Sparks,0,227093,false,2021-04-16,0.371,0.268,1,-10,1,0.0281,0.748,0.0517,0.104,0.165,102.617,3,Coldplay
1comewccDPZxr2KqsskxDG,Quicksand - 2015 Remaster,13,306480,false,2015-09-25,0.422,0.245,2,-17,1,0.0344,0.344,0.0,0.0737,0.329,117.347,4,David Bowie
1gCYG3j4dpZLIE7u6uz2aB,The Importance of Being Idle,48,219827,false,2005-05-20,0.572,0.875,9,-2,0,0.0337,0.0517,0.0,0.111,0.595,109.851,4,Oasis
1ipVdOvDm2PrCTWu3T24I2,Fascination - 2016 Remaster,43,348347,false,1975-03-07,0.6,0.849,2,-9,1,0.148,0.127,1.25E-6,0.078,0.538,108.197,4,David Bowie
1k5iH4KDKi56MFvlnrALNV,Rock 'n' Roll Suicide - 2012 Remaster,58,178266,false,1972-06-06,0.457,0.308,0,-11,1,0.0398,0.309,1.64E-6,0.107,0.271,103.11,3,David Bowie
1k8153zf1g4HwRrp2OMiAn,D'You Know What I Mean? - NG's 2016 Rethink,38,443653,false,1997-01-01,0.321,0.832,4,-3,1,0.0384,1.34E-4,0.024,0.201,0.311,79.991,4,Oasis
1lPCUFuewqILJlb23WR5ps,Prove Yourself - Drill Version,43,152973,false,1992-05-05,0.369,0.528,0,-13,1,0.0312,2.7E-4,0.0752,0.107,0.476,108.625,4,Radiohead
1mea3bSkSGXuIRvnydlB5b,Viva La Vida,81,242373,false,2008-05-26,0.486,0.617,5,-7,0,0.0287,0.0954,3.23E-6,0.109,0.417,138.015,4,Coldplay
1p4krvaKEJWr3ou3D5IZQy,Fill Your Heart - 2015 Remaster,46,190080,false,1971-12-17,0.401,0.156,4,-18,1,0.0375,0.811,0.0,0.0844,0.501,156.785,4,David Bowie
1qPbGZqppFwLwcBC1JQ6Vr,Wonderwall,76,258907,false,1995-10-02,0.41,0.854,2,-5,1,0.0366,0.00236,0.0,0.133,0.456,174.584,4,Oasis
1raM9iX3HPhZvINoYCSWc9,Up the Hill Backwards - 2017 Remaster,39,195987,false,1980-01-01,0.385,0.85,2,-9,1,0.0602,0.00507,0.0189,0.119,0.949,182.182,4,David Bowie
1tNKJaAAeWf2JOevRupPHI,Take Me Away - Live at Manchester Academy,31,255160,false,1994-01-01,0.296,0.371,2,-7,1,0.0293,0.655,1.56E-5,0.823,0.158,116.93,4,Oasis
1uKzAldJYlwje9HstlwTie,See You Soon,62,171373,false,1999-10-11,0.369,0.295,4,-12,1,0.0351,0.657,1.54E-5,0.107,0.211,92.226,4,Coldplay
1v6OADR9HweDVrPUlnPZrT,All the Madmen - Edit; 2015 Remaster,10,195390,false,2015-09-25,0.297,0.483,9,-10,1,0.0424,0.273,0.0,0.084,0.2,132.573,4,David Bowie
1vjCESikMzHzxFcy3Nrdd9,Bring It On Down,24,257800,false,1994-01-01,0.136,0.96,9,-3,1,0.0897,1.15E-5,0.845,0.414,0.185,154.319,4,Oasis
1z9o9o2KHsvVbuVrrPeYxw,Gas Panic!,42,368267,false,2000-02-28,0.369,0.681,5,-6,0,0.042,0.0123,0.00389,0.356,0.233,147.795,4,Oasis
27KGP8rDazv5kpSymLuCLS,Rubber Band,34,139400,false,1967-06-01,0.726,0.312,2,-16,1,0.0725,0.826,1.01E-5,0.123,0.461,125.776,4,David Bowie
29uCXUBVQfMDb8ekQHJns9,Fake Plastic Trees - Acoustic Version,41,285773,false,1995-01-01,0.466,0.177,2,-12,1,0.0302,0.593,3.92E-5,0.689,0.153,74.877,4,Radiohead
2CO7r9hqXLgHqAqQ05ePnJ,Champagne Supernova (Brendan Lynch Mix) - Remastered,35,417960,false,1995-01-01,0.477,0.781,2,-6,1,0.0327,0.018,6.76E-4,0.103,0.43,150.649,4,Oasis
2CbIQqGUHR2inIBTjrKejY,Cigarettes & Alcohol,28,289227,false,1994-11-25,0.302,0.826,2,-3,1,0.0476,1.62E-5,0.222,0.139,0.414,114.703,4,Oasis
2EC9IJj7g0mN1Q5VrZkiYY,Rebel Rebel - 2016 Remaster,76,274747,false,1974-05-24,0.635,0.686,9,-15,1,0.053,0.209,0.0176,0.282,0.464,125.988,4,David Bowie
2Fyz3wjxtUP1WvidFxPBry,Magic Dance (Single Version) - 2002 Remaster,40,240400,false,1986-01-01,0.693,0.885,2,-9,1,0.0659,0.0162,2.13E-6,0.328,0.63,105.636,4,David Bowie
2GkCxLKP04KfDpUYLTmTNl,Lovers in Japan,40,411013,false,2008-06-19,0.202,0.733,7,-7,1,0.0446,0.0427,0.696,0.243,0.0728,118.217,4,Coldplay
2Jm0xXjnsQccN2nkT1gbUs,"John, I'm Only Dancing - Sax Version; 2012 Remaster",12,165540,false,2015-09-25,0.267,0.62,0,-12,1,0.0475,0.0625,1.29E-6,0.062,0.658,159.979,4,David Bowie
2PDQReEXBViVwkrbQ34vd7,Climbing Up the Walls,57,285200,false,1997-05-28,0.243,0.656,11,-7,0,0.041,0.0979,0.141,0.195,0.221,77.712,4,Radiohead
