id,name,popularity,duration_ms,explicit,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist
1SmiQ65iSAbPto6gPFlBYm,It’s Nice To Have A Friend,66,150440,false,2019-08-23,0.737,0.175,10,-9,1,0.0401,0.971,3.37E-4,0.171,0.545,70.008,4,Taylor Swift
1U7wXZmCTsOF3GLJJlV1vl,Stupid Love,0,193533,false,2021-04-13,0.68,0.825,8,-4,1,0.0702,0.00173,1.22E-4,0.27,0.784,117.987,4,Lady Gaga
1cSFlSBdpT4F5vb1frQ231,The Other Side Of The Door (Taylor’s Version),74,238444,false,2021-04-09,0.432,0.873,4,-4,1,0.0577,0.0279,0.0,0.167,0.629,163.936,4,Taylor Swift
1j6gmK6u4WNI33lMZ8dC1s,Our Song,54,201107,false,2006-10-24,0.668,0.672,2,-4,1,0.0303,0.111,0.0,0.329,0.539,89.011,4,Taylor Swift
1k18nxjYj8R5iz82Ap7GEY,Marry The Night,54,264520,false,2011-01-01,0.614,0.879,0,-4,1,0.056,0.00104,0.00438,0.41,0.407,131.092,4,Lady Gaga
1k3PzDNjg38cWqOvL4M9vq,Invisible,49,203227,false,2006-10-24,0.612,0.394,7,-5,1,0.0243,0.637,0.0,0.147,0.233,96.001,4,Taylor Swift
1koJk8rrMBlhDZ8MNiLzH9,Always Remember Us This Way,63,210200,false,2018-10-05,0.553,0.506,0,-5,1,0.0411,0.317,0.0,0.763,0.306,130.027,4,Lady Gaga
1vwCXIAjSkUxvn78Cmz84g,Blank Space,37,231827,false,2014-10-27,0.752,0.678,5,-5,1,0.0646,0.085,1.64E-6,0.13,0.583,96.009,4,Taylor Swift
20qtjUDcb8HH8ouF51BirQ,Running with the Wolves,61,194760,false,2014-01-01,0.353,0.529,5,-6,1,0.089,0.245,8.29E-5,0.221,0.423,164.093,4,AURORA
214nt20w5wOxJnY462klLw,Miss Americana & The Heartbreak Prince,70,234147,false,2019-08-23,0.662,0.747,11,-6,0,0.0736,0.028,0.00615,0.138,0.487,150.088,4,Taylor Swift
273dCMFseLcVsoSWx59IoE,Bad Blood,66,211933,false,2014-10-27,0.652,0.802,7,-6,1,0.181,0.0871,6.45E-6,0.148,0.295,170.157,4,Taylor Swift
2IprIjGNRlj3TfqUWCAo0C,Last Christmas,47,208253,false,2008-12-02,0.702,0.77,5,-5,1,0.0372,0.31,0.0,0.149,0.685,116.009,4,Taylor Swift
2NmsngXHeC1GQ9wWrzhOMf,illicit affairs,73,190898,false,2020-07-24,0.559,0.31,10,-10,1,0.0338,0.881,0.0,0.106,0.46,119.845,4,Taylor Swift
2O8sogKJCfVZ4rotBv1vVF,Mary's Song (Oh My My My),50,213080,false,2006-10-24,0.403,0.627,2,-5,1,0.0292,0.0177,0.0,0.182,0.374,74.9,4,Taylor Swift
2OghnlGqZZsFzHjG0CSE9l,Red - Original Demo Recording,50,227080,false,2012-10-22,0.678,0.902,1,-4,0,0.0358,0.113,2.35E-4,0.0705,0.637,124.998,4,Taylor Swift
2Tz4JnXZOcjcp8fWfMjBBk,The Last Time,60,299013,false,2012-10-22,0.505,0.443,2,-7,1,0.0276,0.035,3.15E-6,0.0906,0.123,94.069,4,Taylor Swift
2YWtcWi3a83pdEg3Gif4Pd,I Think He Knows,70,173387,false,2019-08-23,0.897,0.366,0,-8,1,0.0569,0.00889,3.53E-4,0.0715,0.416,100.003,4,Taylor Swift
2eQMZp4HLfQAX5S7wRuso3,My World,51,207267,false,2002-06-04,0.597,0.916,1,-5,1,0.047,0.00595,0.0,0.102,0.699,102.827,4,Avril Lavigne
2fbJ5Msx8KoDKpyufH5YsU,I'll Never Love Again - Extended Version,70,328893,false,2018-10-05,0.406,0.359,7,-6,1,0.0293,0.685,3.67E-6,0.122,0.202,109.246,4,Lady Gaga
2jt90bYlYDg1lXYWES34LJ,The Story Of Us,60,266480,false,2010-01-01,0.546,0.809,4,-3,1,0.041,0.00487,3.72E-4,0.0437,0.649,139.91,4,Taylor Swift
2nX9948PslVYrrHUf6w0eL,Video Phone (feat. Lady Gaga),53,304693,false,2009-11-20,0.32,0.782,8,-7,1,0.374,0.00203,8.51E-4,0.39,0.527,78.05,4,Lady Gaga
2rbDhOo9Fh61Bbu23T2qCk,Always Remember Us This Way,80,210200,false,2018-10-05,0.553,0.502,0,-5,1,0.0409,0.299,0.0,0.764,0.296,129.976,4,Lady Gaga
2sC2P3BN0IXujNaaSyDmtP,Blank Space,62,231827,false,2014-10-27,0.76,0.703,5,-5,1,0.054,0.103,0.0,0.0913,0.57,95.997,4,Taylor Swift
2x0WlnmfG39ZuDmstl9xfX,End Game,72,244827,false,2017-11-10,0.649,0.589,2,-6,1,0.0558,0.00845,0.0,0.108,0.151,159.073,4,Taylor Swift
2y5aJvzXhHPA94U5GFAcXe,I Don’t Wanna Live Forever (Fifty Shades Darker),68,245653,false,2017-02-10,0.734,0.442,0,-8,1,0.0557,0.0594,1.63E-5,0.213,0.0973,117.967,4,Taylor Swift
3CeCwYWvdfXbZLXFhBrbnf,Love Story (Taylor’s Version),85,235767,false,2021-02-12,0.626,0.79,2,-4,1,0.0311,0.135,3.97E-6,0.0989,0.416,119.082,4,Taylor Swift
3K2es3gElMRJ3qvmPW442g,Dear John,62,403933,false,2010-01-01,0.583,0.468,4,-5,1,0.0278,0.183,1.65E-6,0.111,0.126,119.375,3,Taylor Swift
3M0w3fhdXByHLCNAoi5c9G,Fifteen,54,294347,false,2008-11-11,0.559,0.636,7,-4,1,0.0263,0.0728,0.0,0.144,0.214,95.485,4,Taylor Swift
